feature,importance
Glucose,0.25696099472013745
BMI,0.16585900769932108
Age,0.13561871619919305
DiabetesPedigreeFunction,0.12481036918575959
BloodPressure,0.0900067956868042
Pregnancies,0.08529422702930853
Insulin,0.07330885110023244
SkinThickness,0.06814103837924362
